SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,ExterQual,TotalBsmtSF,1stFlrSF,KitchenQual,BsmtQual
333168,9,2599,3.0,779.0,4.0,1393.0,1422,4.0,4.0
355000,8,2475,3.0,962.0,4.0,1629.0,1645,4.0,5.0
260400,7,1720,2.0,527.0,4.0,1720.0,1720,4.0,4.0
325000,8,2622,2.0,712.0,4.0,1463.0,1500,4.0,5.0
290000,8,2270,3.0,671.0,4.0,1152.0,1164,4.0,4.0
221000,7,1839,2.0,486.0,4.0,1195.0,1195,0.0,4.0
410000,8,3238,3.0,666.0,4.0,2033.0,2053,4.0,4.0
221500,8,1595,3.0,880.0,4.0,1595.0,1595,4.0,4.0
204500,7,1218,2.0,676.0,4.0,1218.0,1218,4.0,4.0
215200,7,1547,2.0,614.0,0.0,756.0,764,4.0,4.0
262500,8,1566,2.0,750.0,4.0,1566.0,1566,4.0,4.0
254900,7,1947,2.0,678.0,4.0,991.0,991,4.0,4.0
271500,6,1468,2.0,528.0,4.0,1468.0,1468,4.0,5.0
233000,7,2084,2.0,618.0,4.0,956.0,956,4.0,4.0
181000,7,1659,2.0,484.0,4.0,831.0,831,4.0,4.0
205000,7,2110,2.0,463.0,4.0,948.0,1222,4.0,4.0
143000,6,923,1.0,264.0,0.0,923.0,923,0.0,4.0
189000,6,1845,2.0,462.0,4.0,1055.0,1055,4.0,4.0
99500,6,918,1.0,264.0,0.0,918.0,918,0.0,4.0
125000,6,752,1.0,264.0,0.0,744.0,752,0.0,4.0
194500,7,1744,2.0,457.0,4.0,996.0,1014,4.0,4.0
152000,6,1097,2.0,480.0,0.0,1040.0,1097,0.0,4.0
171000,6,1564,2.0,476.0,0.0,650.0,888,0.0,4.0
67500,5,1012,1.0,429.0,0.0,816.0,1012,0.0,0.0
112000,6,1902,2.0,539.0,0.0,0.0,1318,0.0,0.0
148000,5,1155,2.0,576.0,0.0,1109.0,1155,4.0,0.0
138500,5,894,1.0,336.0,0.0,894.0,894,0.0,0.0
122000,5,900,1.0,280.0,0.0,882.0,900,0.0,0.0
133000,5,1040,1.0,308.0,0.0,1040.0,1040,0.0,0.0
127000,5,1040,1.0,260.0,0.0,1040.0,1040,0.0,0.0
169000,6,1494,2.0,461.0,0.0,1208.0,1494,0.0,0.0
190000,7,1923,2.0,564.0,4.0,750.0,1061,4.0,4.0
362500,8,2349,3.0,762.0,4.0,1231.0,1251,4.0,4.0
285000,8,2225,3.0,713.0,4.0,1390.0,1402,4.0,4.0
260000,7,1488,2.0,506.0,4.0,1488.0,1488,4.0,5.0
190000,7,1680,2.0,588.0,4.0,840.0,840,4.0,4.0
155000,7,1200,2.0,480.0,4.0,600.0,600,4.0,4.0
151000,7,1200,2.0,480.0,4.0,600.0,600,4.0,4.0
149500,7,1200,2.0,480.0,4.0,600.0,600,4.0,4.0
152000,6,1236,2.0,480.0,4.0,600.0,600,4.0,4.0
222000,7,1478,2.0,484.0,5.0,1470.0,1478,4.0,5.0
177500,6,1573,2.0,440.0,4.0,756.0,769,4.0,4.0
177000,6,1512,2.0,440.0,4.0,756.0,756,4.0,4.0
155000,7,1416,2.0,484.0,4.0,696.0,696,4.0,4.0
147110,7,1080,2.0,496.0,4.0,530.0,530,4.0,4.0
267916,8,1418,3.0,852.0,4.0,1642.0,1418,4.0,5.0
254000,8,1848,2.0,592.0,4.0,975.0,975,4.0,4.0
155000,8,788,2.0,484.0,4.0,728.0,788,4.0,4.0
206000,8,1226,2.0,484.0,4.0,1226.0,1226,4.0,4.0
130500,6,1479,2.0,475.0,4.0,725.0,725,4.0,0.0
230000,7,1492,2.0,596.0,4.0,1492.0,1492,4.0,4.0
218500,6,1829,2.0,535.0,0.0,1829.0,1829,0.0,0.0
243500,6,2495,2.0,660.0,0.0,1280.0,1280,4.0,4.0
205000,6,1610,2.0,480.0,0.0,1610.0,1610,4.0,0.0
212500,6,1891,2.0,678.0,0.0,1224.0,1287,0.0,4.0
196500,7,1714,2.0,496.0,0.0,980.0,980,0.0,4.0
197500,6,1381,2.0,676.0,0.0,1161.0,1381,4.0,0.0
171000,6,1645,2.0,441.0,0.0,715.0,930,0.0,0.0
142250,5,1232,2.0,490.0,0.0,1232.0,1232,0.0,0.0
143000,6,1328,2.0,528.0,0.0,1328.0,1328,0.0,0.0
128950,4,1225,0.0,0.0,0.0,950.0,1225,0.0,0.0
159000,5,1209,2.0,504.0,0.0,1209.0,1209,0.0,4.0
178900,5,1510,2.0,517.0,0.0,1510.0,1510,4.0,0.0
136300,6,1775,2.0,480.0,0.0,533.0,1131,0.0,0.0
180500,5,1152,2.0,484.0,0.0,1152.0,1152,0.0,0.0
137500,6,1054,2.0,480.0,0.0,936.0,1054,4.0,0.0
84900,5,1728,0.0,0.0,0.0,1728.0,1728,0.0,0.0
142125,5,1078,1.0,240.0,0.0,1078.0,1078,4.0,0.0
197600,5,2461,2.0,400.0,4.0,1140.0,1929,0.0,0.0
172500,6,1556,2.0,470.0,0.0,782.0,1019,0.0,0.0
116500,5,858,0.0,0.0,0.0,858.0,858,0.0,0.0
76500,3,1306,0.0,0.0,0.0,728.0,1306,2.0,0.0
128000,5,1063,1.0,280.0,0.0,1056.0,1063,0.0,0.0
153000,6,1520,1.0,364.0,0.0,1156.0,1520,0.0,0.0
132000,5,1268,1.0,244.0,0.0,1268.0,1268,0.0,0.0
178000,6,1128,1.0,315.0,0.0,1080.0,1128,4.0,0.0
154300,5,2274,2.0,480.0,0.0,1105.0,1105,0.0,0.0
180000,7,2207,2.0,576.0,0.0,1947.0,2207,0.0,4.0
190000,6,1888,2.0,578.0,4.0,1517.0,1888,4.0,0.0
135000,5,1604,2.0,576.0,0.0,1604.0,1604,0.0,0.0
214000,7,1480,2.0,620.0,4.0,1480.0,1480,4.0,4.0
136000,5,1143,1.0,308.0,0.0,1143.0,1143,0.0,0.0
165500,5,1700,2.0,447.0,0.0,1398.0,1700,4.0,0.0
145000,5,1314,1.0,294.0,0.0,1314.0,1314,0.0,0.0
148000,6,1194,1.0,312.0,0.0,1194.0,1194,0.0,0.0
142000,5,1188,2.0,531.0,0.0,1188.0,1188,0.0,0.0
167500,5,1264,2.0,461.0,0.0,1268.0,1264,0.0,0.0
108538,5,1206,1.0,312.0,0.0,1206.0,1206,0.0,0.0
159500,6,1580,2.0,440.0,0.0,1244.0,1580,0.0,0.0
108000,4,1337,1.0,263.0,0.0,832.0,832,0.0,0.0
135000,5,1064,1.0,318.0,0.0,864.0,1064,2.0,0.0
122500,5,972,1.0,305.0,0.0,972.0,972,0.0,0.0
119000,5,988,1.0,264.0,0.0,988.0,988,0.0,0.0
109000,5,1057,1.0,246.0,0.0,1057.0,1057,4.0,0.0
105000,4,985,2.0,676.0,0.0,576.0,985,0.0,0.0
107500,5,827,1.0,392.0,0.0,0.0,827,0.0,0.0
144900,5,1086,2.0,490.0,0.0,1086.0,1086,0.0,0.0
129000,5,936,1.0,308.0,0.0,936.0,936,0.0,0.0
97500,6,1458,1.0,330.0,0.0,912.0,912,0.0,0.0
144000,6,1056,2.0,576.0,0.0,1056.0,1056,0.0,0.0
162000,5,1287,2.0,576.0,0.0,1063.0,1287,4.0,0.0
242000,7,2978,2.0,564.0,4.0,710.0,1898,4.0,4.0
132000,6,1224,1.0,280.0,0.0,816.0,816,0.0,0.0
154000,5,1246,1.0,305.0,0.0,1246.0,1246,4.0,0.0
166000,5,1385,2.0,720.0,0.0,910.0,910,0.0,0.0
134800,5,900,2.0,576.0,0.0,900.0,900,4.0,0.0
160000,6,1116,2.0,440.0,0.0,1116.0,1116,0.0,0.0
148000,5,1175,2.0,484.0,0.0,1175.0,1175,0.0,0.0
192000,6,1395,2.0,440.0,0.0,1395.0,1395,0.0,0.0
155000,6,1839,2.0,442.0,0.0,756.0,1051,0.0,0.0
80400,4,1844,1.0,240.0,0.0,709.0,1157,0.0,0.0
96500,4,1140,0.0,0.0,0.0,576.0,792,0.0,0.0
109500,5,936,0.0,0.0,0.0,936.0,936,0.0,0.0
115000,5,1028,2.0,360.0,0.0,1008.0,1028,0.0,0.0
143000,5,1347,2.0,551.0,0.0,1347.0,1347,4.0,0.0
107400,3,1605,1.0,379.0,4.0,840.0,840,0.0,2.0
80000,4,747,1.0,220.0,0.0,747.0,747,0.0,0.0
119000,5,804,1.0,240.0,0.0,788.0,804,4.0,0.0
130000,5,1316,2.0,484.0,0.0,926.0,926,0.0,0.0
119000,6,1251,1.0,240.0,0.0,827.0,827,2.0,4.0
129000,5,1633,1.0,240.0,0.0,1027.0,1027,4.0,0.0
100000,5,1245,1.0,315.0,0.0,1008.0,1060,0.0,0.0
12789,2,832,2.0,780.0,0.0,678.0,832,0.0,2.0
105900,6,720,2.0,484.0,0.0,624.0,720,0.0,0.0
150000,8,1566,1.0,288.0,4.0,930.0,930,4.0,0.0
139000,5,1652,1.0,416.0,0.0,686.0,966,0.0,2.0
240000,8,2268,2.0,624.0,4.0,346.0,1157,4.0,2.0
76500,5,2256,0.0,0.0,0.0,840.0,1128,2.0,0.0
149700,6,1236,2.0,923.0,0.0,912.0,1236,0.0,0.0
125500,4,1363,2.0,528.0,0.0,622.0,741,0.0,2.0
122500,4,2290,2.0,560.0,0.0,777.0,1246,0.0,0.0
140750,6,1470,2.0,624.0,0.0,738.0,868,0.0,2.0
128500,5,1612,1.0,363.0,0.0,988.0,1030,0.0,0.0
209500,7,2068,1.0,315.0,0.0,1108.0,1160,4.0,4.0
87000,4,765,1.0,200.0,0.0,765.0,765,4.0,0.0
134000,6,1132,1.0,240.0,0.0,608.0,608,0.0,0.0
128000,6,1196,2.0,576.0,0.0,572.0,848,0.0,0.0
132000,5,1453,1.0,240.0,0.0,835.0,955,4.0,0.0
139900,6,1416,1.0,312.0,0.0,780.0,780,0.0,0.0
123900,5,1040,2.0,624.0,0.0,528.0,548,0.0,0.0
138400,5,1536,2.0,480.0,0.0,928.0,928,0.0,0.0
109500,6,1068,1.0,288.0,0.0,1124.0,1068,0.0,2.0
140000,7,1710,2.0,480.0,0.0,576.0,902,0.0,0.0
149500,4,1962,2.0,572.0,0.0,888.0,888,0.0,0.0
159900,6,1560,0.0,0.0,4.0,780.0,780,4.0,0.0
122000,6,1324,1.0,180.0,0.0,662.0,662,0.0,0.0
110000,5,816,2.0,516.0,2.0,816.0,816,0.0,4.0
55000,4,1092,0.0,0.0,2.0,0.0,372,2.0,0.0
140000,5,1812,2.0,672.0,0.0,360.0,1032,4.0,4.0
244400,7,2403,1.0,349.0,0.0,1032.0,1207,0.0,0.0
173000,5,1675,1.0,365.0,0.0,1422.0,1675,0.0,4.0
107500,5,1224,1.0,180.0,0.0,689.0,725,1.0,4.0
100000,5,1392,0.0,0.0,2.0,1212.0,1212,0.0,0.0
95000,6,919,1.0,231.0,0.0,600.0,600,0.0,2.0
93369,4,1884,0.0,0.0,0.0,707.0,942,0.0,0.0
114900,5,1680,2.0,450.0,0.0,856.0,936,0.0,0.0
94000,5,1020,0.0,0.0,0.0,780.0,780,0.0,0.0
136000,4,1832,0.0,0.0,2.0,1832.0,1832,0.0,0.0
136500,4,1768,0.0,0.0,0.0,1768.0,1768,0.0,0.0
131500,5,1039,2.0,504.0,0.0,1039.0,1039,0.0,0.0
121500,5,1392,2.0,528.0,0.0,1392.0,1392,0.0,4.0
125000,5,912,1.0,336.0,0.0,912.0,912,0.0,0.0
154000,5,1060,1.0,270.0,0.0,1060.0,1060,4.0,0.0
137900,5,892,1.0,416.0,0.0,864.0,892,4.0,0.0
158000,6,1352,1.0,299.0,0.0,663.0,663,0.0,0.0
137250,5,864,1.0,280.0,0.0,864.0,864,0.0,0.0
160250,5,1373,2.0,591.0,0.0,1319.0,1373,0.0,4.0
163000,5,1440,2.0,480.0,0.0,720.0,720,0.0,0.0
158900,6,1386,2.0,440.0,0.0,672.0,672,0.0,0.0
328000,7,2260,2.0,533.0,4.0,1306.0,1306,4.0,5.0
270000,7,1483,2.0,690.0,4.0,1420.0,1483,0.0,4.0
85000,4,756,2.0,440.0,0.0,660.0,756,0.0,2.0
128000,4,1067,2.0,436.0,0.0,1067.0,1067,4.0,4.0
260000,7,1524,2.0,586.0,4.0,1332.0,1332,4.0,4.0
230000,6,1981,2.0,522.0,0.0,1117.0,1117,4.0,4.0
124000,3,1610,1.0,480.0,0.0,972.0,1052,2.0,0.0
83000,5,835,1.0,366.0,0.0,458.0,835,0.0,0.0
144500,6,1074,1.0,467.0,0.0,663.0,1074,4.0,0.0
129000,5,1144,1.0,596.0,0.0,1144.0,1144,0.0,0.0
127000,4,1531,1.0,209.0,0.0,756.0,1169,0.0,0.0
128000,5,1172,1.0,366.0,0.0,1172.0,1172,0.0,0.0
186000,6,1212,2.0,460.0,0.0,1212.0,1212,4.0,4.0
308030,7,1508,2.0,572.0,4.0,1508.0,1508,4.0,4.0
114000,5,1298,2.0,504.0,0.0,1250.0,1298,0.0,0.0
84900,4,930,1.0,308.0,0.0,0.0,930,4.0,0.0
178000,6,1732,2.0,476.0,4.0,741.0,977,4.0,4.0
270000,7,1433,2.0,528.0,4.0,1433.0,1433,4.0,4.0
218000,6,1802,4.0,1017.0,4.0,946.0,964,4.0,4.0
236000,7,1949,2.0,574.0,4.0,1050.0,1062,4.0,4.0
147000,6,996,2.0,564.0,0.0,936.0,996,4.0,4.0
245350,8,1694,3.0,776.0,4.0,1694.0,1694,4.0,4.0
206000,7,1208,2.0,632.0,4.0,1187.0,1208,4.0,4.0
198900,7,1226,3.0,740.0,0.0,1226.0,1226,4.0,4.0
187000,7,1222,2.0,615.0,4.0,1222.0,1222,4.0,4.0
320000,7,3222,3.0,594.0,0.0,1673.0,1699,4.0,4.0
138500,6,1445,2.0,484.0,0.0,676.0,831,0.0,2.0
155000,6,1052,2.0,440.0,0.0,1010.0,1052,0.0,0.0
159000,5,965,2.0,580.0,0.0,870.0,965,0.0,4.0
191000,7,1692,2.0,513.0,0.0,878.0,892,0.0,4.0
200500,6,1682,2.0,523.0,0.0,804.0,804,4.0,4.0
150000,5,1026,1.0,308.0,4.0,1026.0,1026,0.0,4.0
161750,6,1392,1.0,299.0,0.0,689.0,689,0.0,4.0
128200,5,894,1.0,308.0,0.0,894.0,894,0.0,0.0
127000,5,876,2.0,484.0,0.0,876.0,876,0.0,0.0
318000,8,1978,3.0,850.0,4.0,1978.0,1978,4.0,4.0
272000,8,1601,2.0,670.0,4.0,1581.0,1601,4.0,4.0
237000,7,1829,2.0,613.0,4.0,941.0,941,4.0,4.0
240000,7,2098,2.0,621.0,4.0,1040.0,1044,4.0,4.0
224900,7,1661,2.0,598.0,0.0,1649.0,1661,4.0,4.0
143750,6,848,2.0,420.0,4.0,848.0,848,4.0,4.0
143000,6,848,2.0,420.0,4.0,848.0,848,4.0,4.0
232000,8,1668,2.0,502.0,4.0,1657.0,1668,4.0,4.0
213000,7,1484,2.0,606.0,4.0,1473.0,1484,4.0,4.0
185500,7,1414,2.0,494.0,4.0,1414.0,1414,4.0,4.0
84900,3,640,1.0,240.0,0.0,0.0,640,0.0,0.0
155891,5,992,1.0,319.0,0.0,381.0,992,0.0,2.0
100000,5,1664,0.0,0.0,0.0,0.0,1664,0.0,0.0
144000,5,1196,1.0,336.0,0.0,1196.0,1196,0.0,4.0
64000,4,1120,2.0,480.0,0.0,744.0,792,2.0,0.0
125200,6,1096,1.0,352.0,0.0,1008.0,1096,0.0,0.0
107000,6,1117,2.0,672.0,0.0,1029.0,1117,0.0,0.0
90000,4,960,0.0,0.0,0.0,960.0,960,0.0,0.0
140000,4,1121,2.0,440.0,0.0,1121.0,1121,0.0,4.0
113000,6,1487,1.0,220.0,0.0,735.0,798,0.0,0.0
80000,4,924,1.0,280.0,0.0,672.0,672,2.0,4.0
144500,5,1526,1.0,364.0,0.0,1216.0,1526,0.0,0.0
104000,5,1296,1.0,260.0,0.0,1107.0,1296,2.0,0.0
128000,6,1647,1.0,216.0,0.0,806.0,841,2.0,4.0
58500,3,864,1.0,200.0,0.0,864.0,864,0.0,0.0
127000,5,1691,1.0,308.0,0.0,1026.0,1026,4.0,0.0
126000,6,856,2.0,399.0,0.0,856.0,856,0.0,0.0
160000,4,2650,0.0,0.0,0.0,0.0,862,0.0,0.0
100000,5,1666,0.0,0.0,0.0,894.0,894,0.0,0.0
169000,6,2447,1.0,336.0,0.0,804.0,1699,4.0,0.0
257500,7,2133,1.0,312.0,4.0,1528.0,1225,0.0,4.0
215000,5,2177,2.0,484.0,0.0,1032.0,1102,0.0,0.0
266500,7,2340,1.0,252.0,5.0,1152.0,1188,4.0,0.0
335000,7,1902,2.0,567.0,4.0,1902.0,1902,5.0,4.0
203135,7,1652,2.0,473.0,0.0,423.0,896,4.0,4.0
185000,8,1034,2.0,598.0,4.0,982.0,1034,4.0,4.0
162500,8,1191,2.0,531.0,4.0,1191.0,1191,4.0,4.0
289000,7,1801,2.0,484.0,0.0,1501.0,1801,0.0,0.0
125500,4,1154,1.0,240.0,0.0,796.0,796,4.0,0.0
82000,2,540,1.0,200.0,0.0,480.0,540,0.0,0.0
110000,6,1107,1.0,625.0,0.0,629.0,727,0.0,0.0
68400,4,1128,2.0,528.0,0.0,698.0,698,0.0,0.0
102776,4,1178,1.0,384.0,0.0,859.0,859,0.0,0.0
55993,5,1044,2.0,504.0,2.0,540.0,1044,2.0,0.0
50138,4,952,1.0,330.0,2.0,756.0,952,0.0,0.0
246000,8,1646,2.0,525.0,4.0,1594.0,1646,4.0,5.0
254900,8,1916,3.0,741.0,4.0,1049.0,1036,4.0,4.0
190000,6,1285,2.0,473.0,0.0,1243.0,1285,4.0,0.0
201000,7,1560,2.0,573.0,4.0,1560.0,1560,4.0,5.0
169900,6,1034,3.0,888.0,0.0,1012.0,1034,0.0,0.0
170000,6,2048,2.0,776.0,0.0,1958.0,2048,0.0,0.0
160000,5,1687,2.0,572.0,0.0,747.0,1687,0.0,0.0
220000,7,1346,3.0,660.0,4.0,1336.0,1346,4.0,4.0
179781,7,1214,2.0,520.0,4.0,1214.0,1214,4.0,4.0
174000,5,1444,2.0,400.0,0.0,384.0,744,0.0,4.0
269500,8,1968,3.0,680.0,4.0,774.0,774,5.0,5.0
214900,7,1894,2.0,510.0,4.0,817.0,824,4.0,4.0
202900,8,1908,2.0,431.0,4.0,967.0,993,4.0,4.0
378500,9,2018,3.0,746.0,5.0,2002.0,2018,5.0,5.0
169000,5,1264,2.0,528.0,0.0,1068.0,1264,0.0,0.0
173500,5,1430,2.0,624.0,0.0,1430.0,1430,4.0,5.0
139000,6,1824,0.0,0.0,0.0,912.0,912,0.0,0.0
166500,5,1344,2.0,686.0,0.0,1344.0,1344,0.0,4.0
83500,4,1092,1.0,286.0,0.0,546.0,546,0.0,0.0
119500,5,945,1.0,253.0,0.0,945.0,945,0.0,4.0
85000,5,1112,1.0,336.0,0.0,536.0,536,0.0,4.0
76000,4,1092,0.0,0.0,0.0,546.0,546,0.0,0.0
75500,4,630,0.0,0.0,0.0,630.0,630,0.0,4.0
88250,4,1092,0.0,0.0,0.0,546.0,546,0.0,0.0
85500,4,1092,1.0,286.0,0.0,546.0,546,0.0,0.0
130000,5,874,1.0,352.0,0.0,864.0,874,0.0,0.0
157900,5,1188,1.0,312.0,0.0,1188.0,1188,0.0,0.0
149900,5,833,2.0,495.0,0.0,833.0,833,4.0,4.0
159000,5,2432,2.0,616.0,0.0,1216.0,1216,0.0,0.0
136000,5,1274,2.0,576.0,0.0,624.0,624,0.0,4.0
161000,5,1479,1.0,275.0,0.0,864.0,864,0.0,0.0
285000,8,1803,2.0,482.0,4.0,1679.0,1803,4.0,4.0
231000,6,1797,2.0,616.0,4.0,1152.0,1152,4.0,4.0
124500,6,882,1.0,502.0,0.0,882.0,882,0.0,2.0
157000,6,1434,2.0,528.0,0.0,1434.0,1434,0.0,0.0
345000,8,2704,2.0,538.0,4.0,1952.0,2000,5.0,4.0
189500,6,1608,2.0,470.0,0.0,945.0,945,0.0,4.0
270000,8,2283,3.0,632.0,4.0,1008.0,1008,4.0,4.0
189000,7,1628,2.0,390.0,0.0,384.0,958,0.0,4.0
377500,9,1746,3.0,758.0,5.0,1746.0,1746,5.0,5.0
168500,7,1474,2.0,400.0,0.0,384.0,804,0.0,4.0
375000,8,2522,2.0,564.0,4.0,2208.0,2522,4.0,5.0
278000,8,1659,2.0,499.0,4.0,1501.0,1659,5.0,4.0
240000,8,1478,2.0,495.0,0.0,1418.0,1478,0.0,4.0
239500,8,1734,2.0,528.0,4.0,1587.0,1734,4.0,4.0
177500,7,1382,2.0,396.0,4.0,384.0,751,0.0,4.0
185000,7,1718,2.0,427.0,0.0,832.0,885,0.0,4.0
191000,6,1636,2.0,440.0,4.0,952.0,952,0.0,4.0
178000,6,1571,2.0,380.0,4.0,799.0,799,0.0,4.0
185000,6,1470,2.0,420.0,5.0,680.0,680,0.0,4.0
181316,6,1516,2.0,409.0,0.0,707.0,707,4.0,4.0
166000,6,1190,2.0,430.0,0.0,1181.0,1190,4.0,4.0
178000,6,1593,2.0,389.0,0.0,808.0,808,0.0,4.0
174000,6,1481,2.0,343.0,0.0,702.0,702,0.0,4.0
173000,6,1167,2.0,400.0,0.0,1158.0,1167,4.0,4.0
225000,7,1983,2.0,490.0,4.0,978.0,1005,4.0,4.0
180500,7,1442,2.0,500.0,0.0,1424.0,1442,0.0,4.0
187500,8,1360,2.0,565.0,4.0,1220.0,1360,4.0,4.0
501837,9,2234,3.0,1166.0,5.0,2216.0,2234,5.0,5.0
372500,8,2046,3.0,834.0,4.0,2046.0,2046,4.0,5.0
260000,7,1530,2.0,430.0,4.0,1530.0,1530,4.0,5.0
185000,5,1934,2.0,567.0,0.0,1122.0,946,0.0,4.0
260000,7,2353,2.0,484.0,4.0,845.0,1153,5.0,4.0
181000,6,1586,2.0,435.0,0.0,1362.0,1586,0.0,4.0
82500,7,1411,2.0,544.0,0.0,1386.0,1411,0.0,0.0
215000,6,1602,2.0,529.0,4.0,1602.0,1602,4.0,4.0
154000,7,2050,2.0,529.0,0.0,832.0,1154,4.0,4.0
200000,6,1671,2.0,484.0,0.0,1427.0,1671,0.0,0.0
249000,7,2673,2.0,441.0,0.0,1043.0,1539,4.0,4.0
187500,7,1472,2.0,588.0,0.0,1372.0,1472,0.0,4.0
184000,6,1707,2.0,479.0,0.0,1140.0,1707,0.0,0.0
278000,8,2524,2.0,542.0,4.0,2524.0,2524,4.0,4.0
157000,7,1601,2.0,478.0,0.0,1271.0,1601,0.0,4.0
152000,7,1370,2.0,479.0,0.0,1090.0,1370,0.0,4.0
197500,5,1868,2.0,484.0,0.0,780.0,1088,4.0,0.0
240900,7,1884,2.0,581.0,4.0,926.0,1016,5.0,4.0
263435,8,1935,2.0,552.0,4.0,832.0,832,0.0,4.0
220000,8,1874,2.0,588.0,4.0,1058.0,1058,4.0,4.0
235000,8,1811,2.0,565.0,4.0,972.0,972,4.0,4.0
213000,5,1621,2.0,478.0,0.0,1621.0,1621,0.0,4.0
167900,6,1116,2.0,528.0,0.0,1116.0,1116,0.0,0.0
158000,7,1193,2.0,506.0,0.0,1176.0,1193,0.0,0.0
165000,6,1350,2.0,478.0,0.0,1064.0,1350,0.0,4.0
158000,6,2119,2.0,583.0,0.0,689.0,1378,0.0,0.0
136000,5,1792,0.0,0.0,0.0,896.0,896,0.0,4.0
148500,5,1002,2.0,902.0,0.0,1002.0,1002,0.0,0.0
156000,6,1026,2.0,440.0,0.0,1026.0,1026,4.0,0.0
128000,5,1180,2.0,477.0,0.0,1180.0,1180,0.0,0.0
